modelo,dAICc,df,weight,dev.expl,Moran I statistic (res),p-value,contraste
s(logU/U)|Site : gs,0,153.14601594476284,0.9999999999998643,0.4209077078677865,-0.016812060548159986,0.5460669037413778,Área per se
te(land)|Site : gs,59.25786214713662,247.51087399055677,1.3561843550844094e-13,0.46635901967988347,-0.0063393520372503126,0.4790383829465837,Área per se
te(land) + 1|Site,360.3262017920033,79.27760483392123,5.703736295435795e-79,0.256067865370274,-0.03637726533051191,0.6666890122761892,Área per se
s(k)|Site : gs,403.91785624033946,218.0550706817717,1.9514253676125053e-88,0.3484499163013278,-0.12213977149797847,0.9661057877527104,Área per se
s(logU/U) + 1|Site,446.7669922215764,69.16546644443726,9.677881292867396e-98,0.21673843899338097,-0.10359090748165943,0.9356148188713228,Área per se
s(k) + 1|Site,640.3786734218866,71.73128838060556,8.780877170871089e-140,0.14333652237770245,-0.02887106672729196,0.6233773423611969,Área per se
1 + 1|Site,743.9686259568471,64.07903665231149,2.813620495558427e-162,0.09298339021348234,-0.028871066727290735,0.6233773423611892,Área per se
te(land)|Site : gs,0,424.8289177656178,1,0.7062651538519876,3.0466714006030965e-4,0.4358531234042465,Frag. per se
s(k)|Site : gs,216.38031379148015,495.0089001311528,1.0318388223618274e-47,0.7082189243410294,-0.001888717465336455,0.4484294517104024,Frag. per se
s(logU/U)|Site : gs,224.33441398812465,194.6442046778148,1.9337527841007253e-49,0.557432518712353,0.017016570578870894,0.33351316556359667,Frag. per se
te(land) + 1|Site,815.7609216067476,106.19947374873104,7.240467307621976e-178,0.3531842507125568,0.028986410871133263,0.2599254623709574,Frag. per se
s(logU/U) + 1|Site,1007.9132791613338,91.8816019804172,1.362737828062478e-219,0.2804759097254221,0.017840767705808058,0.3239151432617194,Frag. per se
s(k) + 1|Site,1183.3326048746912,92.21859350392442,1.1030360927940965e-257,0.2180648625967751,0.0163490788683012,0.33310042696241215,Frag. per se
1 + 1|Site,1248.2473779434113,84.21075225017559,8.841498029777143e-272,0.18678304011347527,0.016349078868289565,0.33310042696248093,Frag. per se
te(land)|Site : gs,0,374.30534132370883,1,0.7673562171447912,-0.053075023876905526,0.7579872434276025,Frag. total
s(logU/U)|Site : gs,115.73541076755009,208.7131679956048,7.385414443699791e-26,0.6957506448897941,-0.0015351350205425802,0.4483690213808419,Frag. total
s(k)|Site : gs,494.4882417233648,521.2085036365263,4.199935557312263e-108,0.7652896985194386,-0.053807494399010884,0.769230962804323,Frag. total
te(land) + 1|Site,1319.352478276045,112.11540384492852,3.208111836885267e-287,0.39877448190575476,0.005486210176290657,0.4013684617939349,Frag. total
s(logU/U) + 1|Site,1392.7178635595164,97.79857457458147,3.759745983115453e-303,0.3679164306302383,0.0020988704549506332,0.4231143459277433,Frag. total
s(k) + 1|Site,1635.1747881179008,99.44410650227594,0,0.29178270426460245,-0.005990003101215132,0.4761165436438218,Frag. total
1 + 1|Site,1711.9288113608627,91.25662778565437,0,0.25910270219823794,-0.0059900031012329776,0.47611654364393885,Frag. total
