contraste,modelo,dAICc,df,weight,dev.expl,Moran I statistic (res),p-value
Área per se,s(Uefeito)|Site : gs,0,157.69238972327483,1,0.4270693765134752,-0.06849715633465275,0.8272841808942106
Área per se,s(Uefeito)|Site : gi,108.05978252138902,222.20919791794287,3.428596422502364e-24,0.44002918657561935,-0.08295172476574271,0.8815345372666752
Área per se,1|Site,401.1048977709461,72.86297753511492,7.964859455955286e-88,0.24077066410668396,-0.12805796700307528,0.972492404052641
Área per se,0|Site+1|Site,756.7470397991228,63.42406998804172,4.725722429809113e-165,0.09198151515167509,-0.13733244516722953,0.9813753411829556
Frag. per se,s(Uefeito)|Site : gs,0,197.11026971144523,0.9999999999830222,0.5565528072935588,0.026053169561514482,0.2817881271024188
Frag. per se,s(Uefeito)|Site : gi,49.59822171440919,227.79099655247666,1.6977861976062808e-11,0.5620932722098921,-0.07299496990048517,0.856133554665587
Frag. per se,1|Site,697.5695491566958,99.64652632164119,3.347318430321121e-152,0.3116108598725918,0.001626406832148925,0.42686398101286693
Frag. per se,0|Site+1|Site,1014.4157373661519,84.71403406200514,5.277417501977524e-221,0.18694483577869092,-9.2258981633272e-4,0.44285939876511854
Frag. total,s(Uefeito)|Site : gs,0,213.60203344088146,0.9999999999999998,0.6975093934768333,-0.03933085423393194,0.6838650295860782
Frag. total,s(Uefeito)|Site : gi,71.73813628088101,261.89499525923037,2.644001124955576e-16,0.7047921175630496,0.018845226619941806,0.3169150346469283
Frag. total,1|Site,1238.978750332284,103.6659625068732,9.102962793631092e-270,0.38309357798048627,0.01569083341679547,0.3386106962015324
Frag. total,0|Site+1|Site,1601.2739304538336,93.58340496775126,0,0.2591363489939463,-0.01650454004697382,0.5450896258471807
