pair,modelo,dAICc,df,weight,dev.expl,Moran I statistic (res),p-value
Área per se,tp::s(land)|Site : gs,0,192.15101993521063,0.9999999993783597,0.47209287414687556,-0.07033329185010179,0.8372935983191357
Área per se,tp::s(land)|Site : gi,42.397318937671116,259.80757746692063,6.216403104619748e-10,0.503231674128876,-0.0662684529473186,0.8206679916118539
Área per se,cr::s(land)|Site : gs,101.66364909456388,153.14601594476284,8.394968942167018e-23,0.4209077078677865,-0.016812060548159986,0.5460669037413778
Área per se,cr::s(land)|Site : gi,192.93758880928362,219.45547621137763,1.2709688714039964e-42,0.43950893171159916,-0.040103361019836144,0.6886295759982246
Área per se,tp::s(land) + 1|Site,498.7390687190127,73.61593234034765,5.014033977420325e-109,0.23852327932079515,-0.10465964834487944,0.9375461502619119
Área per se,cr::s(land) + 1|Site,548.4306413161403,69.16546644443726,8.124551287961199e-120,0.21673843899338097,-0.10359090748165943,0.9356148188713228
Área per se,cr::1 + 1|Site,845.6322750514109,64.07903665231149,2.362025667526077e-184,0.09298339021348234,-0.028871066727290735,0.6233773423611892
Área per se,tp::1 + 1|Site,845.6322750514109,64.07903665231149,2.362025667526077e-184,0.09298339021348234,-0.028871066727290735,0.6233773423611892
Frag. per se,tp::s(land)|Site : gs,0,221.69852186536372,1,0.6033660057355275,-0.0415125704671682,0.6992914511346429
Frag. per se,tp::s(land)|Site : gi,93.69036197132209,289.961347636841,4.522685557127132e-21,0.6188292819636181,-0.04414851158447058,0.7167224963170523
Frag. per se,cr::s(land)|Site : gs,163.40207622881917,194.6442046778148,3.293745059604408e-36,0.557432518712353,0.017016570578870894,0.33351316556359667
Frag. per se,cr::s(land)|Site : gi,214.4015660100731,226.33218808695673,2.775182097270821e-47,0.5631557340102815,-0.07137888338314646,0.851247963669151
Frag. per se,tp::s(land) + 1|Site,943.1270973205974,94.18602458505927,1.5942372416946483e-205,0.28351972557375765,0.017086194758117252,0.3284927420028221
Frag. per se,cr::s(land) + 1|Site,946.9809414020283,91.8816019804172,2.321140026595577e-206,0.2804759097254221,0.017840767705808058,0.3239151432617194
Frag. per se,cr::1 + 1|Site,1187.3150401841058,84.21075225017559,1.5059650175822932e-258,0.18678304011347527,0.016349078868289565,0.33310042696248093
Frag. per se,tp::1 + 1|Site,1187.3150401841058,84.21075225017559,1.5059650175822932e-258,0.18678304011347527,0.016349078868289565,0.33310042696248093
Frag. total,tp::s(land)|Site : gs,0,270.16679937998606,1,0.7338245718709924,-0.034703717156265836,0.6610063638998863
Frag. total,cr::s(land)|Site : gs,124.03935108188034,208.7131679956048,1.1619759601760524e-27,0.6957506448897941,-0.0015351350205425802,0.4483690213808419
Frag. total,tp::s(land)|Site : gi,180.62035735436166,327.0646386448901,6.008799886982483e-40,0.7305300135535456,-0.05268919825380927,0.7614274558604919
Frag. total,cr::s(land)|Site : gi,190.368304745366,260.33101254087177,4.592486199373494e-42,0.704967217473633,-0.002692433054959651,0.45333481406289755
Frag. total,tp::s(land) + 1|Site,1382.995420663019,101.11585003735337,4.856911099910711e-301,0.3754979900227228,4.241142219357729e-5,0.4364704593473008
Frag. total,cr::s(land) + 1|Site,1401.0218038738467,97.79857457458147,5.915354489652821e-305,0.3679164306302383,0.0020988704549506332,0.4231143459277433
Frag. total,cr::1 + 1|Site,1720.232751675193,91.25662778565437,0,0.25910270219823794,-0.0059900031012329776,0.47611654364393885
Frag. total,tp::1 + 1|Site,1720.232751675193,91.25662778565437,0,0.25910270219823794,-0.0059900031012329776,0.47611654364393885
